model,episodes,played_episodes,correct_guesses,avg_quality_score,avg_binary_accuracy,avg_efficiency,avg_guess_turn,avg_budget_used_ratio,avg_remaining_turn_budget,avg_passed_test_cases,avg_failed_test_cases,avg_internal_consistency_score,avg_violated_request_count,avg_runtime_error_count,avg_parse_error_count,avg_internal_consistency_score_on_failed
gpt-4.1-mini,25,25,16,22.13333333333333,0.64,0.3813333333333333,11.48,0.7653333333333333,3.52,56.24,24.48,0.94,0.2,0.0,0.2,0.8333333333333334
gpt-4.1-nano,25,25,8,17.6,0.32,0.504,9.32,0.6213333333333333,5.68,28.16,52.56,0.5439047619047619,0.32,0.0,0.32,0.3292717086834734
gpt-5-nano,25,25,4,15.2,0.16,0.9173333333333333,3.24,0.21599999999999997,11.76,16.0,64.72,0.376,0.16,0.0,0.16,0.2571428571428572
