model,episodes,played_episodes,correct_guesses,avg_quality_score,avg_binary_accuracy,avg_efficiency,avg_guess_turn,avg_budget_used_ratio,avg_remaining_turn_budget,avg_passed_test_cases,avg_failed_test_cases,avg_internal_consistency_score,avg_violated_request_count,avg_runtime_error_count,avg_parse_error_count,avg_internal_consistency_score_on_failed
gpt-4.1-mini,25,25,15,29.066666666666666,0.6,0.3146666666666667,11.68,0.7786666666666667,3.32,40.72,40.0,0.6366666666666666,0.04,0.0,0.04,0.09166666666666666
gpt-4.1-nano,25,25,10,29.6,0.4,0.7066666666666667,6.72,0.44799999999999995,8.28,36.16,44.56,0.8,0.4,0.0,0.4,0.6666666666666666
gpt-5-nano,25,25,10,39.733333333333334,0.4,1.0213333333333332,1.72,0.11466666666666667,13.28,28.4,52.32,0.68,0.04,0.0,0.04,0.4666666666666667
