model,episodes,played_episodes,correct_guesses,avg_quality_score,avg_binary_accuracy,avg_efficiency,avg_guess_turn,avg_budget_used_ratio,avg_remaining_turn_budget,avg_passed_test_cases,avg_failed_test_cases,avg_internal_consistency_score,avg_violated_request_count,avg_runtime_error_count,avg_parse_error_count,avg_internal_consistency_score_on_failed
Qwen3.6-35B-A3B-FP8,25,25,0,0.0,0.0,0.0,1.0,0.06666666666666667,14.0,0.0,80.72,0.0,1.0,0.0,1.0,0.0
Qwen3.6-35B-A3B-FP8-without-reasoning,25,25,0,0.0,0.0,0.0,1.0,0.06666666666666667,14.0,0.0,80.72,0.0,0.92,0.0,0.92,0.0
gpt-4.1-2025-04-14,25,25,13,22.666666666666664,0.52,0.408,10.88,0.7253333333333333,4.12,44.24,36.48,0.945,0.0,0.0,0.0,0.8854166666666666
gpt-4.1-mini,25,25,1,1.333333333333333,0.04,0.034666666666666665,12.6,0.84,2.4,4.0,76.72,0.14,0.08,0.0,0.08,0.10416666666666667
gpt-4.1-nano,25,25,0,0.0,0.0,0.0,1.0,0.06666666666666667,14.0,0.0,80.72,0.0,0.92,0.0,0.92,0.0
