model,mode,domain,experiment,callable,game_id,quality_score,binary_accuracy,efficiency_raw,guess_turn,budget_used_ratio,remaining_turn_budget,tolerance_used,n_test_cases,passed_test_cases,failed_test_cases
Qwen3.6-35B-A3B-FP8-without-reasoning,passive_labeled_pairs,string,string_passive_labeled_pairs,first_char,69,0.0,0,0.26666666666666666,15,1.0,0,1,100,0,100
Qwen3.6-35B-A3B-FP8-without-reasoning,passive_labeled_pairs,string,string_passive_labeled_pairs,add_exclamation,75,0.0,0,0.0,15,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8-without-reasoning,passive_labeled_pairs,string,string_passive_labeled_pairs,uppercase_str,81,0.0,0,0.0,15,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8-without-reasoning,passive_labeled_pairs,string,string_passive_labeled_pairs,remove_space,87,33.33333333333333,1,0.3333333333333333,14,0.9333333333333333,1,1,100,100,0
Qwen3.6-35B-A3B-FP8-without-reasoning,passive_labeled_pairs,list,list_passive_labeled_pairs,list_len,93,0.0,0,0.0,15,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8-without-reasoning,passive_labeled_pairs,list,list_passive_labeled_pairs,ret_first_item,99,0.0,0,0.0,15,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8-without-reasoning,passive_labeled_pairs,list,list_passive_labeled_pairs,sum_list,105,60.0,1,0.6,9,0.6,6,1,100,100,0
Qwen3.6-35B-A3B-FP8-without-reasoning,passive_labeled_pairs,list,list_passive_labeled_pairs,count_zeros,111,0.0,0,0.0,15,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8-without-reasoning,passive_labeled_pairs,list,list_passive_labeled_pairs,rmv_duplicates,117,0.0,0,0.0,15,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8-without-reasoning,passive_labeled_pairs,logic,logic_passive_labeled_pairs,logic_and,123,0.0,0,0.26666666666666666,14,0.9333333333333333,1,1,4,0,4
Qwen3.6-35B-A3B-FP8-without-reasoning,passive_labeled_pairs,logic,logic_passive_labeled_pairs,logic_or,129,0.0,0,0.8666666666666667,7,0.4666666666666667,8,1,4,0,4
Qwen3.6-35B-A3B-FP8-without-reasoning,passive_labeled_pairs,logic,logic_passive_labeled_pairs,logic_xor,135,80.0,1,0.8,6,0.4,9,1,4,4,0
Qwen3.6-35B-A3B-FP8-without-reasoning,passive_labeled_pairs,logic,logic_passive_labeled_pairs,not_value,141,0.0,0,0.0,15,1.0,0,0,2,0,2
Qwen3.6-35B-A3B-FP8-without-reasoning,passive_labeled_pairs,logic,logic_passive_labeled_pairs,implies,147,0.0,0,0.7333333333333333,10,0.6666666666666666,5,1,4,0,4
gpt-4.1-2025-04-14,passive_labeled_pairs,numbers,numbers_passive_labeled_pairs,absolute_value,3,26.666666666666668,1,0.26666666666666666,13,0.8666666666666667,2,1,100,100,0
gpt-4.1-2025-04-14,passive_labeled_pairs,numbers,numbers_passive_labeled_pairs,add_one,9,26.666666666666668,1,0.26666666666666666,13,0.8666666666666667,2,1,100,100,0
gpt-4.1-2025-04-14,passive_labeled_pairs,numbers,numbers_passive_labeled_pairs,clamp_to_0_9,15,0.0,0,0.3333333333333333,12,0.8,3,1,100,0,100
gpt-4.1-2025-04-14,passive_labeled_pairs,numbers,numbers_passive_labeled_pairs,is_even,21,0.0,0,0.3333333333333333,12,0.8,3,1,100,0,100
