,game,model,experiment,episode,metric,value
53,function_detective,Qwen3.6-35B-A3B-FP8,two_numbers_passive_labeled_pairs,instance_00045,quality_score,0.0
54,function_detective,Qwen3.6-35B-A3B-FP8,two_numbers_passive_labeled_pairs,instance_00045,binary_success,0.0
55,function_detective,Qwen3.6-35B-A3B-FP8,two_numbers_passive_labeled_pairs,instance_00045,binary_accuracy,0.0
56,function_detective,Qwen3.6-35B-A3B-FP8,two_numbers_passive_labeled_pairs,instance_00045,efficiency,0.0
57,function_detective,Qwen3.6-35B-A3B-FP8,two_numbers_passive_labeled_pairs,instance_00045,efficiency_raw,0.0
58,function_detective,Qwen3.6-35B-A3B-FP8,two_numbers_passive_labeled_pairs,instance_00045,tolerance_used,0.0
59,function_detective,Qwen3.6-35B-A3B-FP8,two_numbers_passive_labeled_pairs,instance_00045,n_test_cases,100.0
60,function_detective,Qwen3.6-35B-A3B-FP8,two_numbers_passive_labeled_pairs,instance_00039,Request Count,15.0
61,function_detective,Qwen3.6-35B-A3B-FP8,two_numbers_passive_labeled_pairs,instance_00039,Parsed Request Count,3.0
62,function_detective,Qwen3.6-35B-A3B-FP8,two_numbers_passive_labeled_pairs,instance_00039,Violated Request Count,12.0
63,function_detective,Qwen3.6-35B-A3B-FP8,two_numbers_passive_labeled_pairs,instance_00039,Request Success Ratio,0.2
64,function_detective,Qwen3.6-35B-A3B-FP8,two_numbers_passive_labeled_pairs,instance_00039,Aborted,0.0
65,function_detective,Qwen3.6-35B-A3B-FP8,two_numbers_passive_labeled_pairs,instance_00039,Lose,1.0
66,function_detective,Qwen3.6-35B-A3B-FP8,two_numbers_passive_labeled_pairs,instance_00039,Success,0.0
67,function_detective,Qwen3.6-35B-A3B-FP8,two_numbers_passive_labeled_pairs,instance_00039,Main Score,0.0
68,function_detective,Qwen3.6-35B-A3B-FP8,two_numbers_passive_labeled_pairs,instance_00039,quality_score,0.0
69,function_detective,Qwen3.6-35B-A3B-FP8,two_numbers_passive_labeled_pairs,instance_00039,binary_success,0.0
70,function_detective,Qwen3.6-35B-A3B-FP8,two_numbers_passive_labeled_pairs,instance_00039,binary_accuracy,0.0
71,function_detective,Qwen3.6-35B-A3B-FP8,two_numbers_passive_labeled_pairs,instance_00039,efficiency,0.0
72,function_detective,Qwen3.6-35B-A3B-FP8,two_numbers_passive_labeled_pairs,instance_00039,efficiency_raw,0.0
73,function_detective,Qwen3.6-35B-A3B-FP8,two_numbers_passive_labeled_pairs,instance_00039,tolerance_used,0.0
74,function_detective,Qwen3.6-35B-A3B-FP8,two_numbers_passive_labeled_pairs,instance_00039,n_test_cases,100.0
75,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00003,Request Count,15.0
76,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00003,Parsed Request Count,3.0
77,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00003,Violated Request Count,12.0
78,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00003,Request Success Ratio,0.2
79,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00003,Aborted,0.0
80,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00003,Lose,1.0
81,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00003,Success,0.0
82,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00003,Main Score,0.0
83,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00003,quality_score,0.0
84,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00003,binary_success,0.0
85,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00003,binary_accuracy,0.0
86,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00003,efficiency,0.0
87,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00003,efficiency_raw,0.0
88,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00003,tolerance_used,0.0
89,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00003,n_test_cases,100.0
90,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00021,Request Count,15.0
91,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00021,Parsed Request Count,2.0
92,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00021,Violated Request Count,13.0
93,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00021,Request Success Ratio,0.13333333333333333
94,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00021,Aborted,0.0
95,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00021,Lose,1.0
96,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00021,Success,0.0
97,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00021,Main Score,0.0
98,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00021,quality_score,0.0
99,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00021,binary_success,0.0
100,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00021,binary_accuracy,0.0
101,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00021,efficiency,0.0
102,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00021,efficiency_raw,0.0
103,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00021,tolerance_used,0.0
104,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00021,n_test_cases,100.0
105,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00027,Request Count,15.0
106,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00027,Parsed Request Count,3.0
107,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00027,Violated Request Count,12.0
108,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00027,Request Success Ratio,0.2
109,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00027,Aborted,0.0
110,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00027,Lose,1.0
111,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00027,Success,0.0
112,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00027,Main Score,0.0
113,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00027,quality_score,0.0
114,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00027,binary_success,0.0
115,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00027,binary_accuracy,0.0
116,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00027,efficiency,0.0
117,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00027,efficiency_raw,0.0
118,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00027,tolerance_used,0.0
119,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00027,n_test_cases,100.0
120,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00009,Request Count,15.0
121,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00009,Parsed Request Count,3.0
122,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00009,Violated Request Count,12.0
123,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00009,Request Success Ratio,0.2
124,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00009,Aborted,0.0
125,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00009,Lose,1.0
126,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00009,Success,0.0
127,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00009,Main Score,0.0
128,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00009,quality_score,0.0
129,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00009,binary_success,0.0
130,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00009,binary_accuracy,0.0
131,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00009,efficiency,0.0
132,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00009,efficiency_raw,0.0
133,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00009,tolerance_used,0.0
134,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00009,n_test_cases,100.0
135,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00015,Request Count,15.0
136,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00015,Parsed Request Count,3.0
137,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00015,Violated Request Count,12.0
138,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00015,Request Success Ratio,0.2
139,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00015,Aborted,0.0
140,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00015,Lose,1.0
141,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00015,Success,0.0
142,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00015,Main Score,0.0
143,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00015,quality_score,0.0
144,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00015,binary_success,0.0
145,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00015,binary_accuracy,0.0
146,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00015,efficiency,0.0
147,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00015,efficiency_raw,0.0
148,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00015,tolerance_used,0.0
149,function_detective,Qwen3.6-35B-A3B-FP8,numbers_passive_labeled_pairs,instance_00015,n_test_cases,100.0
150,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00093,Request Count,15.0
151,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00093,Parsed Request Count,4.0
152,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00093,Violated Request Count,11.0
153,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00093,Request Success Ratio,0.26666666666666666
154,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00093,Aborted,0.0
155,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00093,Lose,1.0
156,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00093,Success,0.0
157,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00093,Main Score,0.0
158,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00093,quality_score,0.0
159,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00093,binary_success,0.0
160,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00093,binary_accuracy,0.0
161,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00093,efficiency,0.0
162,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00093,efficiency_raw,0.0
163,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00093,tolerance_used,0.0
164,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00093,n_test_cases,100.0
165,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00099,Request Count,15.0
166,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00099,Parsed Request Count,2.0
167,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00099,Violated Request Count,13.0
168,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00099,Request Success Ratio,0.13333333333333333
169,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00099,Aborted,0.0
170,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00099,Lose,1.0
171,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00099,Success,0.0
172,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00099,Main Score,0.0
173,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00099,quality_score,0.0
174,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00099,binary_success,0.0
175,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00099,binary_accuracy,0.0
176,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00099,efficiency,0.0
177,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00099,efficiency_raw,0.0
178,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00099,tolerance_used,0.0
179,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00099,n_test_cases,100.0
180,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00117,Request Count,15.0
181,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00117,Parsed Request Count,1.0
182,function_detective,Qwen3.6-35B-A3B-FP8,list_passive_labeled_pairs,instance_00117,Violated Request Count,14.0
