model,failure_reason,episodes,share
gpt-4.1-mini,correct_guess,11,0.14666666666666667
gpt-4.1-mini,protocol_or_format_error,1,0.013333333333333334
gpt-4.1-mini,wrong_function_guess,13,0.17333333333333334
gpt-4.1-nano,correct_guess,3,0.04
gpt-4.1-nano,protocol_or_format_error,21,0.28
gpt-4.1-nano,wrong_function_guess,1,0.013333333333333334
gpt-5-nano,correct_guess,1,0.013333333333333334
gpt-5-nano,protocol_or_format_error,2,0.02666666666666667
gpt-5-nano,wrong_function_guess,22,0.29333333333333333
