model,domain,episodes,played_episodes,correct_guesses,avg_quality_score,avg_binary_accuracy,avg_efficiency,avg_guess_turn,avg_budget_used_ratio,avg_remaining_turn_budget,avg_passed_test_cases,avg_failed_test_cases,avg_internal_consistency_score,avg_violated_request_count,avg_runtime_error_count,avg_parse_error_count,avg_internal_consistency_score_on_failed
Qwen3.6-35B-A3B-FP8-without-reasoning,numbers,5,5,1,6.666666666666666,0.2,0.06666666666666667,14.6,0.9733333333333334,0.4,20.0,80.0,0.2,1.0,0.0,1.0,0.0
Qwen3.6-35B-A3B-FP8-without-reasoning,two_numbers,5,5,0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,100.0,0.0,1.0,0.0,1.0,0.0
Qwen3.6-35B-A3B-FP8-without-reasoning,string,5,5,1,9.333333333333332,0.2,0.09333333333333334,14.2,0.9466666666666667,0.8,20.0,80.0,0.2,1.2,0.0,1.2,0.0
Qwen3.6-35B-A3B-FP8-without-reasoning,list,5,5,0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,100.0,0.0,1.0,0.0,1.0,0.0
Qwen3.6-35B-A3B-FP8-without-reasoning,logic,5,5,5,80.0,1.0,0.8,7.0,0.4666666666666667,8.0,3.6,0.0,1.0,2.0,0.0,2.0,
